year,Ionia_total_crash,Kent_total_crash,Montcalm_total_crash,Ottawa_total_crash
,,,,
2004,2889,24397,3202,8300
2005,2776,21447,3085,7973
2006,2404,19537,2851,6978
2007,2575,20131,2794,7419
2008,2491,19780,2831,7334
2009,2294,17815,2726,6672
2010,2161,17241,2425,6315
2011,1912,18200,2374,6739
2012,1672,17831,2182,6471
2013,1725,19556,2203,7437
2014,1587,20620,2156,7887
2015,1542,20394,2032,7582
2016,1663,22183,2141,8428
2017,1749,22712,2222,8052
2018,1736,22307,2163,7971
2019,1963,23091,2176,8558